States,Year,Natural_Calamities,Wind_speed,Rainfall_Actual,Rainfall_Normal,Population_Urban,Population_Rural,Fishing_Inland,Fishing_Marine,Harbour_Plastic,MSW,Beach_plastics,Climate_change,Plastic_entering_sea
,,Number,kmph,mm,mm,Persons,Persons,Lakh Tonnes,Lakh Tonnes,TPA,TPA,Kg,,TPA
Tripura,2015,0,14.05,1050.3,1496.9,1184000,2660000,0.69,0.00,0.00,151110,0,0,1577.59
Uttar Pradesh,2015,0,22.45,912,1667,49021000,164896000,5.05,0.00,0.00,5545080,0,0,57890.64
Uttarakhand,2015,0,15.95,881.5,1229.1,3444000,7222000,0.04,0.00,0.00,334705,0,1,3494.32
West Bengal,2015,1,24.95,3148.5,3174.1,31804000,62768000,14.93,1.78,288.09,4366282,1404.21,0,45583.99
Andaman and Nicobar Islands,2014,0,36.6,1618.6,1682.5,153000,235000,0.00,0.38,0.00,34677,0,0,362.03
Andhra Pradesh,2014,1,27.5,757.3,979.4,15928000,34845000,27.16,5.63,57.73,2338592,19034.2,0,24414.90
Arunachal Pradesh,2014,1,7.95,1747.6,1768,339000,1094000,0.04,0.00,0.00,49471,0,0,516.48
Assam,2014,1,10.35,1635.1,1792.8,4716000,27798000,3.15,0.00,0.00,1640414,0,0,17125.93
Bihar,2014,1,20.75,849.3,1027.6,12829000,97988000,5.41,0.00,0.00,1053086,0,0,10994.21
Chandigarh,2014,0,15.6,203.2,466.3,1091000,18000,0.00,0.00,0.00,163113,0,0,1702.90
Chhattisgarh,2014,1,15.7,1104.8,1147.3,6545000,20351000,4.27,0.00,0.00,952666,0,0,9945.83
Dadra and Nagar Haveli and Daman and Diu,2014,0,22.8,1231.7,1374.5,629000,232000,0.00,0.32,0.00,36025,1563.22,0,376.10
Delhi,2014,0,17.3,203.2,466.3,17737000,310000,0.01,0.00,0.00,3552416,0,0,37087.22
Goa,2014,0,22,2752.8,2914.3,988000,506000,0.05,1.09,0.91,71246,1563.22,0,743.81
Gujarat,2014,1,24.95,1231.7,1374.5,28199000,35386000,1.27,6.70,183.87,3416308,23739.7,0,35666.25
Haryana,2014,0,14.5,203.2,466.3,9879000,16875000,1.57,0.00,0.00,1697998,0,0,17727.10
Himachal Pradesh,2014,1,15.5,521.8,825.3,714000,6347000,0.13,0.00,0.00,125263,0,1,1307.75
Jammu and Kashmir,2014,1,13.1,633,534.6,3594000,9093000,0.20,0.00,0.00,682337,0,0,7123.60
